Title,Video ID,Published At,Views,Category,Type
THIS GLITCH NEEDS TO GET PATCHED NOW IN NBA 2K21 NEXT GEN! IT TAKES NO SKILL TO DO THIS NBA 2K21 NG!,PE1spahlaPc,4 years ago,4258,,NORMAL
MODDED CONTROLLERS ARE BACK IN NEXT GEN NBA 2K21! ZEN/STRIKEPACK CAN BE USED ON THE PS5/XBOX SERIES!,0OwRt4-18i0,4 years ago,43432,,NORMAL
WHY ISO TAKES NO SKILL IN NEXT GEN NBA 2K21! POST HOOKS VS ISO IN NBA 2K21 NEXT GEN!,Qcu2pE6aKFg,4 years ago,5157,,NORMAL
BEST POSTSCORER BUILD FOR NEXT GEN NBA 2K21! NEVER MISS A POST HOOK WITH THIS BUILD!,Acw5Baxl0RM,4 years ago,13076,,NORMAL
FIRST TIME PLAYING A POSTSCORER IN NEXT GEN NBA 2K21 ON THE NEW 1 s COURT! COMP 1v1 GAMEPLAY!,l07Ubns4XeQ,4 years ago,6712,,NORMAL
IM THE FIRST POSTSCORER TO DO THIS IN NEXT GEN NBA2K21! COMP POSTSCORER DROPP OFF STREAK IN NBA2K21!,ec_MTmA57zg,4 years ago,5982,,NORMAL
POSTSCORER IN NEXT GEN NBA 2K21........! ARE POST HOOKS STILL TOXIC?,vezODMofIMc,4 years ago,11724,,NORMAL
THIS MIGHT BE THE BEST POSTSCORER BUILD IN NEXT GEN NBA 2K21! NEW WAVE FOR POSTSCORERS IN NEXT GEN!,AKuF45Ampdg,4 years ago,8003,,NORMAL
GUARD USES MODDED CONTROLLER TO BEAT POSTSCORER IN NBA 2K21! GUARDS USES ZEN ON THE 1v1 COURT!,C3PBqrg2ORM,4 years ago,4898,,NORMAL
GUARDS ARE USING THIS GLITCH TO BEAT CENTERS IN NBA 2K21! GUARDS ARE TOXIC WITH THIS CHEESY MOVE!,Y0DOdsLD4os,4 years ago,4259,,NORMAL
I PLAYED THE MOST UNDERRATED POSTSCORER IN NBA 2K21! BEST POSTSCORER HAD TO ACTUALLY TRY IN A GAME!,3P40b7483H4,4 years ago,4718,,NORMAL
THIS POSTSCORER DID THE *NEW* FADE GLITCH IN NBA 2K21! FADE GLITCH IS UNSTOPPABLE IN NBA 2K21!,7sm010FScao,4 years ago,8579,,NORMAL
THIS NEW SLAHER MOVE IS TOXIC IN NBA 2K21! SLASHERS ARE NOW UNSTOPPABLE ON THE 1v1 COURT!,fZidyKsAwUI,4 years ago,4554,,NORMAL
HES THE FIRST POSTSCORER TO MASTER POST HOOK 2 IN NBA 2K21! POSTSCORER USES RARE POST HOOK IN STAGE!,ek8hHwI0pDY,4 years ago,5400,,NORMAL
THE BEST SLASHER I PLAYED IN NBA 2k21! NEVER SEEN A SLASHER DID THIS BEFORE!,KXR-eYJpOM4,4 years ago,4801,,NORMAL
DOES POSTSCORERS REALLY TAKE SKILL IN NBA 2K21? POSTSCORER HAS NO SKILL GAP!,7VmijJMdN4s,4 years ago,4257,,NORMAL
THIS NEEDS TO GET NERFED IN NBA 2K21! THIS POSTSCORER FOUND A NEW META TO GREEN EVREYTIME!,sm9b0Kik7wQ,4 years ago,4259,,NORMAL
THE FISRT GUARD TO GO ON A HUGE WINSTREAK IN NBA 2K21! POSTSCORER DROPPS OF THE BEST 1s GUARD!,YUxPkKlonVU,4 years ago,4260,,NORMAL
Q&A.........AM I A VIRGIN? WHY ARE YOU A POSTSCORER?,Njk6j0ef3QM,4 years ago,122714,,NORMAL
NEVER MISS A POST HOOK AFTER DOING THIS! WHY POST HOOKS NEED TO BE NERFED IN NBA 2K21!,QGULhisgcOc,4 years ago,16071,,NORMAL
NO OTHER POSTSCORER CAN DO THIS IN NBA 2K21! THE BEST POST SCORER TO LOCK UP GUARDS IN 2K HISTORY!,NgWZH3KC85A,4 years ago,4259,,NORMAL
ISO VS POSTHOOKS IN NBA 2K21! WHICH ONE TAKES MORE SKILL IN NBA 2K21!,q2p-g0kUQL4,4 years ago,4255,,NORMAL
POSTHOOKS CAN BE STOPPED BY GUARDS NOW IN NBA 2K21! THIS BUILD CAN GUARD POST HOOKS BEING 6’4!,uJQGceBYXbk,4 years ago,6352,,NORMAL
WHY YOU NEVER LET YOUR GUARD DOWN PLAYING A POSTSCORER IN NBA 2K21! FIRST TIME GETTIN OUTPLAYED!,PI3Yx23slEc,4 years ago,4257,,NORMAL
THIS BUILD TAKES NO SKILL AT ALL IN NBA 2K21! POSTSCORERS TAKES MORW SKILL THAN THIS BUILD!,Q7Rv6u8R7Zw,4 years ago,8439,,NORMAL
WHY GUARD HAVE A ADVANTAGE AGAINST POSTSCORERS IN NBA 2K21 1s COURT! GUARDS RUN THE 1v1 COURT!,dru6kj8JIdA,4 years ago,4263,,NORMAL
I CAME BACK TO NBA 2K20 AS A POSTSCORER! WHY NBA 2K20 POSTSCORER IS BETTER THAN NBA 2K21!,JVNPyOrq-_s,4 years ago,6153,,NORMAL
HES THE FIRST POSTSCORER TO DO THIS IN NBA 2K21! NOBODY EVER DID THIS!,I-zKqMMwyxc,4 years ago,7431,,NORMAL
THE ONLY GOOD POSTSCORER I PLAYED IN NBA 2K21! COMP STAGE GAMELAY 1v1 GAMPLAY IN NBA 2K21!,f_LCpp8rTt4,4 years ago,4373,,NORMAL
THE WORST POSTSCORER BUILD IN NBA 2K21! WHY YOU CANT WIN WITH THIS POSTSCORER BUILD!,cMV3MaomicE,4 years ago,7855,,NORMAL
2K HAS TO PATCH THIS POSTSCORER BUILD IN NBA 2K21! THIS MIDGET POSTSCORER BUILD IS A OP IN NBA 2K21!,WSEm8jhsPqg,4 years ago,9073,,NORMAL
IS THIS SKILL OR MODDED CONTROLLER!? PEOPLE USING ZEN DURING THE BASKETBALL GODZ EVENT!,uWQEyvRiSMo,4 years ago,5063,,NORMAL
HOW TO WIN BASKETBALL GODZ WITH A POSTSCORER IN NBA 2K21! BEST LINEUP YO WIN BBG IN NBA 2K21!,jqQK4Mg6gPE,4 years ago,4281,,NORMAL
WHY ITS A SKILL GAP PLAYING POSTSCORER IN NBA 2K21! FAKE COMP POSTSCORER GETS EXSPOSED UN NBA 2K21!,TKPYU60diVk,4 years ago,4260,,NORMAL
POSTSCORER EXSPOSED FOR USING MODDED CONTROLLER! BEST POSTSCORER DROPPS OFF CHEATEE IN NBA 2K21!,YMaFxHWWm3A,4 years ago,9455,,NORMAL
THE ONLY BUILD THAT CAN STOP POSTSCORERS IN NBA 2K21! 99 INTERIOR DEFENSE HAS THE BEST DEFENSE!,4mZin2GiWbE,4 years ago,5583,,NORMAL
FIRST POSTSCORER TO WIN RUSH 3v3 EVENT IN 2k HISTORY! BEST POSTSCORER IN NBA 2K21 WINS RUSH EVENT!,-TlbElfVJxI,4 years ago,5357,,NORMAL
DROPPED TOXIC POSTSCORER OFF A 55 GAME WIN STREAK! BEST POSTSCORER  DROPS A HUGE WIN STREAK OFF!,QfiVYiM1-9E,4 years ago,6253,,NORMAL
*BEST* LOCK BUILD  WHEN RUNNING POST-LOCK LINE UP ON NBA 2K21! BEST LOCK BUILD FOR COMP SATGE!,mIUm_3__bPI,4 years ago,5573,,NORMAL
TOXIC OLD HEAD SENEROUS EXSPOSED BY THE BEST POSTSCORER! DROPPS OF OLD HEAD IN NBA 2K21!,K73I7MJN-tg,4 years ago,7819,,NORMAL
*NEW* FREE TATTOO GLITCH IN NBA 2K21 AFTER PATCH 1.03! UNLIMITED TATTO GLITCH!,axkorssO_P8,4 years ago,7139,,NORMAL
I BEAT THE MOST TOXIC POSTSCORER BUILD IN NBA 2K21! COMP STAGE GAMEPLAY 1v1 IN NBA 2K21!,kqlhEJ1FKBk,4 years ago,4258,,NORMAL
IShowSpeed vs Posthoooking B05! BEST POSTSCORER SERIES OF ALL TIME IN NBA 2K21!,zGv96InK-DI,4 years ago,6135,,NORMAL
I GOT TERMINATED ON YOUTUBE💔! HELP RIGHT NOW!!!!!,is4t78pnQM0,4 years ago,128043,,NORMAL
FIRST TIME FEELING HOW IT FEELS TO GET POST HOOK TOXIC LINE UP EVER IN NBA 2K21! *TOXIC GAMEPLAY*,7IzBV2MUanU,4 years ago,12218,,NORMAL
THE MOST TOXIC LINE UP ON 3s COURT IN NBA 2K21 NO SKILL! 3 CENTERS ON THE 3s COURT IN NBA 2K21!,nL47o6Su6iU,4 years ago,5008,,NORMAL
2k STILL HAVEN’T PATCH THESE BUILDS IN NBA 2K21! TAKES NO SKILL TO USE THIS BUILD IN MBA 2K21!,cc3eFyVzh7Y,4 years ago,4504,,NORMAL
*NEW* BEST 6’9 POSTSCORER BULD WITH A 99 POST HOOK IN NBA 2K21! BEST POSTSCORER BUILD AFTER PATCH 4!,28ncq613DMg,4 years ago,7869,,NORMAL
STOPPING TOXIC POST HOOKS IN A COMP SERIES NBA2K21🔒! COMP STAGE POSTSCORER GAMEPLAY IN NBA 2K21!,ANZ8GTzm2bo,4 years ago,4256,,NORMAL
HOW TO BEAT TOXIC LINE UPS IN STAGE NBA 2K21! COMP STAGE GAMEPLAY IN NBA 2K21!,kMcp4Al9bVY,4 years ago,4262,,NORMAL
THIS SECRET POSTSCORER BUILD IS TOO OP IN NBA 2K21! THIS BUILD IS GOUNG TO TAKE OVER IN NBA 2K21!,AmIkz-gcJqI,4 years ago,4506,,NORMAL
NEVER GIVE UP IN COMP STAGE 1v1 GAMEPLAY IN NBA 2K21! BEST COMEBACK IN POSTSCORER HISTORY EVER!,HG4bpFO2UPg,4 years ago,4371,,NORMAL
COMP POSTSCORER GETS COCKY AND IT BACKFIRES! BEST POSTSCORER IN NBA 2K21!,2ltKrtp5Tmo,4 years ago,6317,,NORMAL
2k NEED TO FIX INTERIOR DEFENSE IN NBA 2K21! POSTSCORERS ARE ABUSING THIS CHEESE IN NBA 2K21!,zhWNYbmmrXk,4 years ago,4259,,NORMAL
ZULIEE EXSPOSED FOR USING MODDED CONTROLLER! BEST POSTSCORER GOES AGAINST HACKER ZULLIE IN NBA 2K21!,XkGB1A9fT3g,4 years ago,8251,,NORMAL
AVERAGE POSTSCORER VS COMP POSTSCORER IN COMP STAGE 1v1! THE BEST POSTSCORER IN NBA 2K21!,fGusFovxeAU,4 years ago,4255,,NORMAL
MO BUCKETS EXSPOSED! BEST POSTSCORER DROPPS OFF THE BEST OLD HEAD IN NBA 2K21!,xvpI5emM6bg,4 years ago,11137,,NORMAL
THE TENDENCY GLITCH IN NBA 2K21! BEST POSTSCORER GOES AGAINT A CHEATER IN NBA 2K21!,boQtDcqY0_c,4 years ago,18896,,NORMAL
BEST POSTSCORER VS BEST SLASHER! WHICH ONE TAKES MORE SKILL IN NBA 2K21!,aJB6IwBAcQ8,4 years ago,4275,,NORMAL
*NEW* BEST POSTSCORER BUILD FOR THE COMP STAGE 1s COURT! UNSTOPPABLE 99 POST HOOKING CENTER NBA2K21!,Ujp9vPB_MR4,4 years ago,30567,,NORMAL
HOP STEPS ARE STILL IN THE GAME🧀! HOP STEPS ARE MORE TOXIC THAN POST HOOKS!,JuvTFXfOAWo,4 years ago,4256,,NORMAL
FIRST POSTSCORER TO ISO 👁 ON THE 2s COURT IN COMPSTAGE! BEST POSTSCORER IN NBA 2K21!,CAcKtZXZ9J4,4 years ago,8298,,NORMAL
THIS BUILD IS BECOMING TO TOXIC! 2K NEEDS TO PATCH THIS BUILD IN NBA 2K21 ASAP!,IHtEFPz4y50,4 years ago,6778,,NORMAL
THE BEST OLD HEAD POSTSCORER IN NBA 2K21! ANYBODY CAN WIN A POSTSCORER MATCH IN NBA 2K21!,uWjD7GNK9Is,4 years ago,5536,,NORMAL
SLASHERS ARE TOO OP THIS YEAR! 2K SECRETLY PATCHED POST HOOKS IN NBA 2K21!,IW-UdlYl4RA,4 years ago,4262,,NORMAL
THIS POSTSCORER BUILD IS UNSTOPPABLE ON THE 1s COURT! 99 POST HOOK IS UNGUARDABLE IN NBA2K21!,2szHEyw_2cA,4 years ago,11206,,NORMAL
COMP STAGE GAMEPLAY ON 1v1 COURT! BEST POSTSCORER IN NBA 2K21!,I91zwjEtIBY,4 years ago,5793,,NORMAL
POST HOOKS ARE USELESS! NEW META FOR POSTSCORERS IN NBA 2K21!,HRFmTJtiMto,4 years ago,4861,,NORMAL
THE REASON WHY I DONT PLAY GUARD! GUARD IS TO EASY AND ANYBODY CAN PLAYB IT IN NBA2K21!,uxaBAXqafdE,4 years ago,4334,,NORMAL
THE BEST POST HOOK TO USE IN COMP STAGE 1v1! COMP POSTSCORER MATCH IN NBA 2K21! POST HOOK 2 VS 3!,Gp6lruDJQZc,4 years ago,4257,,NORMAL
THE BEST DROPSTEP POSTSCORER VS THE BEST POST HOOKING POSTSCORER! COMPSTAGE 1v1 GAMEPLAY IN NBA2K21!,FwnRVCqXbjo,4 years ago,12334,,NORMAL
IS THIS SKILL OR JUST BAD DEFENSE? BEST POSTSCORER GETS BLOW BY THE  WHOLE GAME IN NBA 2K21!,T4N7cCfvGTY,4 years ago,5526,,NORMAL
TOP COMP POSTSCORERS IN COMPSTAGE GO HEAD TO HEAD! COMPSTAGE 1v1 GAME PLAY ON NBA2K21!,7wZwBSPmvck,4 years ago,4589,,NORMAL
NO MORE SHOT STICK AIMING POST HOOKS IN THE NEW PATCH 1.02 ! HOW TO POST HOOK MORE EASY IN  NBA2K1!,WW90jwm_Wqw,4 years ago,8000,,NORMAL
HOW TO GUARD POST HOOK CHEESE/POSTSCORER TUTORIAL W/ CONTROLLER CAM 🔒! NBA 2K21,ExL1KOo7Qzw,4 years ago,17478,,NORMAL
THIS GUARD FOUND A WAY TO BEAT POSTSCORERS/CENTERS ON THE 1s COURT! GUARD ARE TAKING OVER IN NBAK21!,BUysl7ZJj-I,4 years ago,4256,,NORMAL
HOW TO QUICK STOP ON A POSTSCORER/CENTERS IN NBA 2K21! BEST SPEED BOOST ANIMATION ON A POST SCORER !,N5nOyyT-xQ4,4 years ago,5830,,NORMAL
WHY POSTSCORERS IS THE MOST TOXIC BUILD IN NBA 2K21! TRASH TALKERS GET EXPOSED BY A POSTSCORER!,3DXHSRZYhdg,4 years ago,4259,,NORMAL
BEST OLDHEAD SLASHER VS THE BEST POSTSCORER! COMP STAGE 1v1 GAMEPLAY IN NBA 2K21,N-V64d6iAIg,4 years ago,5791,,NORMAL
PATCH POST HOOKS IN NBA 2K21! POST HOOK ARE BROKEN IN NBA 2K21!,chaRRfjfxWA,4 years ago,6070,,NORMAL
GUARD TAKES NO SKILL IN NBA 2K21 COMP STAGE *FADE*  ! BEST POSTSCORER PLAYS 99 PLAYSHOT IN NBA2K21!,2QJQjMWPbKg,4 years ago,6344,,NORMAL
OP BADGE DROPSTEP TAKES NO SKILL! BEST POSTSCORER IN NBA 2K21 GETS PRESSED? COMP STAGE 1v1 GAMEPLAY!,K6w2dMfvl_M,4 years ago,12611,,NORMAL
COMP STAGE GAMEPLAY ON 1v1 COURT IN NBA 2K21! BEST POSTSCORER IN NBS 2K21!,TOWLq0JDrAg,4 years ago,5039,,NORMAL
HOW TO BECOME A COMP POSTSCORER IN NBA 2K21! BEST POST HOOK! *HANDCAM* + BEST POSTSCORER ANIMATIONS!,vtnXsIrZ6CY,4 years ago,55266,,NORMAL
*BEST* SHOOTING BADGE METHOD FOR POSTSCORERS/CENTERS  IN NBA 2K21! MAX SHOOTING BADGES IN 1 GMAE!,SVgzFcd4dSA,4 years ago,4257,,NORMAL
COMP STAGE GAMEPLAY ON 1v1 COURT! BEST POSTSCORER ON NBA 2K21!,MFamz4F3hNY,4 years ago,9351,,NORMAL
POSTHOOKS ARE NOT PATCHED IN NBA2k21! TUTORIAL ON HOW TO MAKE EVREY POSTHOOKS IN NBA 2k21!,woth2ncyX58,4 years ago,4274,,NORMAL
*BEST* JUMPSHOT FOR POSTSCORERS IN NBA 2K21! NEVER MISS POST FADES/JUMPSHOT EVER!,RObWPCQIuQM,4 years ago,10714,,NORMAL
THE TOXIC POST LOCK LINEUP IS BACK IN NBA2K21! POSTSCORER ARE OFFFICALY BACK IN NBA2K21! #WERETURN!,d3KSfj62ebg,4 years ago,4700,,NORMAL
*NEW* BEST FINISHING BADGE METHOD FOR POSTSCORERS/CENTERS IN NBA2k21! NEW BADGE METHOD GLITCH!,9Ayxm6qqDzg,4 years ago,23550,,NORMAL
*NEW* AILIEN COMP FACE CREATION IN NBA 2K21! NEW BEST CHEESY FACE IN NBA2k21!,jcm1cS4i8ao,4 years ago,24570,,NORMAL
POSTSCORERS IN NBA 2k21..........💔,7nMUuP3TtMI,4 years ago,8127,,NORMAL
MY LAST POSTSCORER VIDEO...........,nPHtnpu8uYw,4 years ago,24363,,NORMAL
THE DIFFERENCE BETWEEN SKILL AND NO SKILL IN NBA 2k20! PROOF NOBODY WANTS TO SHOWS!,5ms3q42AH14,4 years ago,4257,,NORMAL
LEGEND GETS MAD BECAUSE HES PLAYING THE GAME IN AUGUST! BEST COMP GUARD MAKE LEGEND RAGE IN NBA2k20!,jCqb9h39ygo,4 years ago,68445,,NORMAL
2k20 COMP STAGE GAMEPLAY! ANY THING CAN HAPPEN IN COMP STAGE *INTENSE*,wDGeC93ae-4,4 years ago,7419,,NORMAL
SAD TRUTH WHY POSTSCORERS ARE GETTING PATCHED IN NBA2K21! VIDEO *PROOF*  NEVER SEEN BEFORE FOOTAGE!,ifg802gML0o,4 years ago,34987,,NORMAL
TOP 3 BEST POST SCORER BUILDS FOR NBA 2K21 ON THE 1s COURT! BEST BUILD FOR COMP STAGE 1s!,DRF6KmlwrzY,4 years ago,5077,,NORMAL
HOW TO DO POST HOOKS IN NBA2K21! POST HOOKS ARE PATCHED!?,MKEz2ejIzPk,4 years ago,8064,,NORMAL
BEST STRETCH GLASS CLEANER BUILD IN NBA2K21! THE SHOOTING LOCKS ARE BACK!,cWLrFg6U62M,4 years ago,19824,,NORMAL
POSTHOOKS ARE PATCHED IN NBA2k21 *PROOF* SHOWN! NO MORE TOXIC POSTSCORERS IN NBA 2k21!,Sh-84JtBCyo,4 years ago,8793,,NORMAL
BEST POSTSCORER BUILD IN NBA2K21! POST HOOKS AR BACK IN NBA2K21!,8bl7BlZzyK0,4 years ago,6336,,NORMAL
2K20 COMP STAGE GAMEPLAY! NEVER TRUST RANDOMS IN COMP STAGE IN NBA2K20!,wpdGAkCRtjQ,4 years ago,4254,,NORMAL
2K20 COMP STAGE GAMEPLAY! WHY LEGEND LOCK TAKES NO SKILL!COMP STAGE TAKES NO SKILL!,bpqH8aO2JrM,4 years ago,4256,,NORMAL
BEST PAINT BEAST TO PLAY POSTSCORER! STREAMER WAGERED ME AND GOT INTENSE! COMPSTAGE GAMEPLAYNBA2k20!,3DxXxBwUDeA,4 years ago,15322,,NORMAL
MOM COMES IN ON A 500$ WAGER! BEST POSTSCORER ON LEGEND GUARD! BEST POSTSCORER GUARD!,LYsYr8q_wZM,4 years ago,30613,,NORMAL
FUNNY RAGE COMPILATION😡 NBA 2k20 IS TERRIBLE!,r-0KVMgG6jY,4 years ago,18163,,NORMAL
MY WORST GAMING SETUP TOUR👾+ ROOM TOUR🛌,n-8J2FJu3Do,4 years ago,207286,,NORMAL
2k20 COMP STAGE GAMEPLAY! NEVER GIVE UP IN COMP STAGE 10k NBA2k20!,XkiaFcp5eD0,4 years ago,9310,,NORMAL
WINNING COMP STAGE WITH THE WORST LOCK EVER! NBA2K20 COMP STAGE GAMEPLAY!,UjuJH4I2ZjA,4 years ago,4262,,NORMAL
GUARD TAKES NO SKILL! BEST POSTSCORER SCORER WINS 200 FOW A WAGER IN NBA 2k20!,Q1U0gQOoQNw,4 years ago,6130,,NORMAL
INTERIOR FINISHER VS INTERIOR FORCE! WHICH ONE IS THE BETTER BUILD IN NBA2k20!,v-bSNLULbsU,4 years ago,6863,,NORMAL
COMP STAGE HATES POSTSCORER! POSTSCORER GETS SOLD BY NBA 2k20!,JPLwt38uyM4,4 years ago,4335,,NORMAL
BEST POSTSCORER PLAYS THE MOST TOXIC LINEUP IN COMP STAGE IN NBA 2k20! *FUNNY RAGE REACTION*,TIYO6KCGDys,4 years ago,29272,,NORMAL
NO POINT OF POSTSCORERS ANYMORE! GLASS LOCKS CAN PLAY JUST LIKE POSTSCORERS!,zsWOgx81S_E,4 years ago,4372,,NORMAL
ISHOWSPEED VS EXOTICBRYCE $200 WAGER BO5! BEST POSTSCORERS GO HEAD TO HEAD IN NBA 2K20!,EI7J8CYiRZk,4 years ago,4765,,NORMAL
RANDOM SOLD THE BEST POSTSCORER IN NBA 2k20! WHY RANDOMS ALWAYS WANNA PLAY WITH POSTSCORERS!,1YaekISlwAs,4 years ago,5623,,NORMAL
I GOT SCAMMED FOR 500$ BECAUSE IM THE BEST POSTSCORER! NEVER RUN A POSTSCORER FOR A WAGER!,-cvU7Of-1xE,4 years ago,49299,,NORMAL
99 TENDENCY VS THE BEST POSTSCORER IN NBA 2k20 COMP STAGE! TAKES NO SKILL WHEN YOU HAVE TENDENCIES!,m10KQ5pbFrI,4 years ago,4395,,NORMAL
BEST BIG BUILD FOR BOOT CAMP IN AUGUST! 100k MY POINTS PER GAME! HOW TO WIN BOOT CAMP IN NBA2k20!,dfU09_NmjVA,4 years ago,4601,,NORMAL
LEGEND POSTSCORER ExoticBryce PULLED UP ON THE BEST POSTSCORER! COMP 1v1 GAMEPLAY IN NBA2k20!,FciEeB5ZGAk,4 years ago,4651,,NORMAL
LOST 300$ BECAUSE I USED THE WORST  JUMPSHOT STEPHEN CURRY! STEPH CURRY IS THE WORST-NON COU JUMPER!,c1gKTlpmI68,4 years ago,47261,,NORMAL
LEGEND POSTSCORER CHALLENGED THE BEST POSTSCORER TO 250 POT! COMP POSTSCORER GAMEPLAY IN NBA 2K20!,1comJ9tUyYc,4 years ago,42252,,NORMAL
BEST POSTSCORER LOSES ALL HIS VC TO A OLD HEAD IN NBA2K20! NEVER UNDER ESTIMATE A OPD HEAD IN 2K20!,Ana2SwcGnlQ,4 years ago,6062,,NORMAL
POSTSCORERS ARE CANCELD FOR THE REST OF THE YEAR IN STAGE! BEST POSTSCORER LOOSES TO RANDOMS !,Kjx4FtEe0Sw,4 years ago,4936,,NORMAL
*NEW* BEST CUSTOM JUMPSHOT IN NBA2K20 IN JULY/AUGUST (PATCH 14)! HIGHEST GREEN WINDOW *CONFIRMED* 2k,Kv_2yK7v0A4,4 years ago,5707,,NORMAL
OLD HEAD FROM THE BRONX GETS MAD BECAUSE IM A POSTSCORER IN NBA 2K20!,XcgSBI2SVfA,4 years ago,17035,,NORMAL
“WHEN THEY SAY POSTSCORERS CANT PLAY GUARD”! BEST POSTSCORER DOMINATED ON GUARD IN NBA2k20!,fbUvinpR0y4,4 years ago,6143,,NORMAL
DROPPED TOXIC POSTSCORER OFF A 58 GAME WIN STREAK! BEST POSTSCORER DROPPS A HUGE WIN STREAK OFF!,c66C6pY6qpo,4 years ago,7944,,NORMAL
WHY YOU CANT  WIN RUSH 1v1 ON A GUARD! YOU CANT WIN RUSH 1v1 WITH A GUARD IN NBA2k20!,CgevhFPJZ3k,4 years ago,75601,,NORMAL
HOW TO GO ON HIGH WIN STREAKS ON A POSTSCORER (BEGINNER ) IN NBA2K20! EASY POSTSCORER TUTORIAL!,HpT5nZ-xfyQ,4 years ago,5042,,NORMAL
HALLOWEEN CLOTHES ARE BACK IN JULY 2020 IN NBA2K20! HOW TO GET HALLOWEEN CLOTHES FOR FREE!,F8ha48ExIUM,4 years ago,7030,,NORMAL
HOW TO WIN ON THE 10k COURT IN COMP STAGE WITH A POSTSCORER! COMP STAGE GAMEPLAY!,oXEHx7-sNU0,4 years ago,4659,,NORMAL
BEST POSTSCORER GETS SOLD ON THE 10k COURT IN COMP STAGE! FUNNY COMP STAGE GAMEPLAY IN NBA2K20!,lgyIEpjijSE,4 years ago,139065,,NORMAL
POSTSCORERS ARE PATCHED IN THE NEW UPDATE! NEVER BRING A POSTSCORER TO 10k COURT IN NBA2k20!,PSmEAElJU5w,4 years ago,7633,,NORMAL
FIRST POSTSCORER TO RUN THE 10k COURT IN COMP STAGE! COMP STAGE NBA2K20!,yo_D6QzSzdw,4 years ago,30859,,NORMAL
*NEW* TOXIC POSTSCORER BUILD WITH 99 POST HOOK FOR THE COMP STAGE! WIN EVREY COMP STAGE AFTER THIS!,f2gbNPnbm4I,4 years ago,6616,,NORMAL
WHEN YOU LOOSE 5K TO A POSTSCORER IN STAGE!  FUNNY RAGE IN NBA2K20 *FUNNY REACTION*,NrDXT_cs1t4,4 years ago,168379,,NORMAL
WHY I DONT PLAY GUARD! BEST POSTSCORER TRYS OUT GUARD FOR A SERIES IN NBA2K20!,WNu-kgMJgjk,4 years ago,5993,,NORMAL
*NEW* POSTSCORER SHARP BUILD THAT CAN GREEN DEEP FADES! BEST NEW COMP POSTSCORER BUILD IN NBA2K20!,f5ol3JvbDNo,4 years ago,5020,,NORMAL
Stunna4Vegas GETS DROPPED OFF BY THE BEST POSTSCORER IN NBA2K20! *FUNNY REACTION* COMPSTAGE IN NBA2K,ii4cf3o-pA8,4 years ago,14263,,NORMAL
WHY YOUR POSTSCORER KEEPS GETTING RIPPED! HOW TO STOP GETTING RIPPED FROM GUARDS IN NBA2K20!,5Aq8NwlOU-Y,4 years ago,10341,,NORMAL
PURE BLUE POSTSCORER VS BLUE AND GREEN POSTSCORER! WHICH ONE IS BETTER IN NBA2K20?,SxvhpP3RclI,4 years ago,6000,,NORMAL
*NEW* PLAYMAKING POSTSCORER THAT CAN SPEEDBOOST IN NBA2K20! BEST COMP POSTSCORER BUILD IN NBA2K20!,HF6eLnFXznE,4 years ago,4668,,NORMAL
HOW I BECAME THE BEST POSTSCORER IN THE GAME! FIRST TIME LEARNING HOW TO POST HOOK IN NBA2K20!,AH3tdczteqk,4 years ago,4645,,NORMAL
WIN EVREY COMP STAGE GAME AFTER THIS! BEST BUILD FOR THE COMP STAGE IN NBA2K20!,DBRoK9hX1-8,4 years ago,4879,,NORMAL
"""POSTSCORER DOES NOT TAKE SKILL""  RANDOM POSTSCORER DROPPS THE BEST POSTSCORER OFF!COMPSTAGE NBA2K20",YhxrILjnt5I,4 years ago,4580,,NORMAL
* NEW* GLITCH FOR CENTERS! HOW TO RESIST POST MOVE LOCK DOWN AND MOVING TRUCK IN NBA2K20!,mhK8dlJOwR4,4 years ago,5258,,NORMAL
WHY GLASS LOCKS ARE BETTER THAN POSTSCORERS IN NBA2K20 COMP STAGE 1V1! COMP STAGE 1V1!,oQ84qPuhDdQ,4 years ago,4709,,NORMAL
THE FIRST POSTSCORER TO COME TO COMP STAGE IN NBA 2K20! *MUST WATCH* COMPSTAGE GAMEPLAY IN NBA2K20!,Qs847neF87k,4 years ago,4943,,NORMAL
LIL EAZZYY - ONNA COME UP • NBA 2K20 POSTSCORER MIXTAPE #1,WN894ohbgcc,4 years ago,7384,,NORMAL
*NEW* 2 WAY POSTSCORER BUILD IN NBA2K20! NEW BEST COMP STAGE BUILD FOE THE 1S COURT!,Jr7tMvxLEKk,4 years ago,4594,,NORMAL
LEGEND STARTS CRYING BECAUSE IM THE BEST POSTSCORER! *FUNNY REACTION* COMP STAGE 1V1 NBA2K20!,xpJqFced50Q,4 years ago,4517,,NORMAL
POST HOOK 2 VS POST HOOK 3! WHICH ONE IS BETTER IN NBA2K20! *FUNNY REACTION*,jQXFym4R9QE,4 years ago,4531,,NORMAL
BEST POSTSCORER ANIMATIONS AFTER PATCH 13! BEST GREEN LIGHT JUMPER FOR POSTSCORERS IN NBA2K20!,3C2-nX9O8Jw,4 years ago,7645,,NORMAL
WHY YOU SHOULDNT COME TO COMP STAGE WITH A POSTSCORER! *SAD REACTION*  IN NBA2K20,q2WwQduVlQU,4 years ago,6345,,NORMAL
SHOOTEVREYONE GETS DROPPED OFF BY THE BEST POSTSCORER! EXSPOSED IN NBA2K20!,3QWQe71xuTU,4 years ago,92747,,NORMAL
